POINT=CENTRALSQUARE;MODEL=HRRR;RUN=2020020600;VALID:2020020605;THRU:2020020620
VALID [UTC],SKY COVER[%],SFC PRCP [IN],2M TEMP [F],WIND DIR [DEG],WIND SPD [MPH]
2020020605,100,0.00,24,90,2
2020020606,100,0.00,23,330,1
2020020607,100,0.06,24,100,6
2020020608,100,0.05,25,90,7
2020020609,100,0.06,26,100,8
2020020610,100,0.02,27,90,9
2020020611,100,0.02,27,90,8
2020020612,100,0.03,28,100,8
2020020613,100,0.01,29,110,8
2020020614,100,0.00,31,100,8
2020020615,100,0.01,32,110,8
2020020616,100,0.01,34,100,8
2020020617,100,0.03,34,90,5
2020020618,100,0.06,35,70,5
2020020619,100,0.01,37,90,4
2020020620,100,0.02,36,340,4
